N°;COMUNA;NOMBRE COMUNA;NOMBRE DE LA ORGANIZACIÓN;TIPO DE ORGANIZACIÓN;DANE ESTABLECIDO;TELÉFONO DE LA ORGANIZACIÓN;CORREO ELECTRÓNICO DE LA ORGANIZACIÓN;DIRECCIÓN FÍSICA DE LA ORGANIZACIÓN;NOMBRE DEL REPRESENTANTE LEGAL DE LA ORGANIZACIÓN;CARGO EN LA ORGANIZACIÓN;TELÉFONO Y CELULAR;NOMBRE DEL ENLACE DENTRO DE LA ORGANIZACIÓN;CARGO EN LA ORGANIZACIÓN;TELÉFONO Y CELULAR;CORREO ELECTRÓNICO;VALIDACION/SOCIALIZACION;FECHA ÚLTIMA ACTUALIZACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419;60;SAN CRISTOBAL;CENT EDUC BOQUERON;IE ;205001003195;4261307;Sin registro;VDA BOQUERO  ;ANA JULIA PEREZ SALAS;RECTORA;4261307;ANA JULIA PEREZ SALAS;RECTORA;4261307;Sin registro;INHABILITADO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420;60;SAN CRISTOBAL;CENT EDUC EL YOLOMBO;IE ;205001008464;4262653;Sin registro;VDA EL YOLOMBO;LUIS FELIPE PALACIO CANO;RECTOR;4262653;LUIS FELIPE PALACIO CANO;RECTOR;4262653;Sin registro;INHABILITADO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421;60;SAN CRISTOBAL;CENT EDUC SAN JOSE DE LA MONTAÑA;IE ;205001003322;4261632;Sin registro;CARRETERA  AL MAR KM 14;MARTHA IRENE LONDOÑO DE CARVAJAL;RECTORA;4261632;MARTHA IRENE LONDOÑO DE CARVAJAL;RECTORA;4261632;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422;60;SAN CRISTOBAL;INST EDUC JOSE HORACIO BETANCUR;IE ;105001013447;4271454;Sin registro;CR 121 57 57;MARIO ANTONIO NARANJO FULLA ;RECTOR;4271454;MARIO ANTONIO NARANJO FULLA ;RECTOR;4271454;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423;60;SAN CRISTOBAL;INST EDUC LOMA HERMOSA;IE ;105001013633;4271116/4274977;ie.lomahermosa@medellin.gov.co;CR 123 B  53 B 5;MARIA FANY VARGAS TRUJILLO;RECTORA;4271116/4274977;MARIA FANY VARGAS TRUJILLO;RECTORA;4271116/4274977;ie.lomahermosa@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
424;60;SAN CRISTOBAL;SEC ESC SAN VICENTE FERRER;IE ;105001013455;2530223;Sin registro;CLL 48 CC N 120 E 66;MARIA FANY VARGAS TRUJILLO;RECTORA;2530223;MARIA FANY VARGAS TRUJILLO;RECTORA;2530223;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
425;60;SAN CRISTOBAL;INST EDUC NICANOR RESTREPO SANTAMARIA (ANTES LA HUERTA);IE ;105001025992;4379554;Sin registro;CR 97 # 69C-71;FRANCISCO JAVIER JIMENEZ GIRALDO;RECTOR;4379554;FRANCISCO JAVIER JIMENEZ GIRALDO;RECTOR;4379554;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
426;60;SAN CRISTOBAL;INST EDUC CIUDADELA NUEVO OCCIDENTE;IE ;105001026000;4278910/5147760;Sin registro;CL 64 A 105 A 50;YOVANNI TAPASCO  ;RECTOR;4278910/5147760;YOVANNI TAPASCO  ;RECTOR;4278910/5147760;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
427;60;SAN CRISTOBAL;CENT EDUC PEDREGAL BAJO;IE ;205001011961;4273044;Sin registro;CR 115    66-85;LEONARDO DE JESUS BUILES BUILES;RECTOR;4273044;LEONARDO DE JESUS BUILES BUILES;RECTOR;4273044;Sin registro;INHABILITADO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
428;60;SAN CRISTOBAL;INST EDUC CARLOS ALBERTO CALDERON;IE ;205001002199;4273235;Sin registro;VEREDA  EL LLANO  ;GUSTAVO ADOLFO PATIÑO CARMONA;RECTOR;4273235;GUSTAVO ADOLFO PATIÑO CARMONA;RECTOR;4273235;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
429;60;SAN CRISTOBAL;INST EDUC SAN CRISTOBAL;IE ;205001006232;427 91 80 - 427 91 81;correo@iesancristobal.edu.co;CR 131 # 65 -07;JOSE CHARLES VELEZ BETANCUR;RECTOR ;427 91 80 - 427 91 81;JOSE CHARLES VELEZ BETANCUR;RECTOR ;427 91 80 - 427 91 81;correo@iesancristobal.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
430;60;SAN CRISTOBAL;INST EDUC PRESBITERO JUAN J. ESCOBAR;IE ;205001010264;4270220/4277152;pbrojuanjescobar@gmail.com;CL 62 #128 120;JAIME ALBERTO CASTAÑO BOTERO;RECTOR ;4270220/4277152;JAIME ALBERTO CASTAÑO BOTERO;RECTOR ;4270220/4277152;pbrojuanjescobar@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
431;60;SAN CRISTOBAL;SEC ESC JUAN NEPOMUCENO MORALES;IE ;205001002628-205001010264;4270173;pbrojuanjescobar@gmail.com;CL 62  # 127-6;JAIME ALBERTO CASTAÑO BOTERO;RECTOR ;4270173;JAIME ALBERTO CASTAÑO BOTERO;RECTOR ;4270173;pbrojuanjescobar@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
432;60;SAN CRISTOBAL;INST EDUC ALFONSO UPEGUI OROZCO;IE ;205001010281;4260345;Sin registro;CLL 64B #117 177;GLADIS ELENA ARBOLEDA LOPERA;RECTOR ;4260345;GLADIS ELENA ARBOLEDA LOPERA;RECTOR ;4260345;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
433;60;SAN CRISTOBAL;INST EDUC LUSITANIA- PAZ DE COLOMBIA;IE ;105001026573;NO REGISTRA ;Sin registro;CR 109 A 63 B 320;DIEGO MAURICIO MONTOYA MISAS;RECTOR ;NO REGISTRA ;DIEGO MAURICIO MONTOYA MISAS ;RECTOR ;NO REGISTRA ;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
434;60;SAN CRISTOBAL;SEC ESC EL TIROL;IE ;205001800150-105001026573;NO REGISTRA ;Sin registro;CL 66 A 104 74;DIEGO MAURICIO MONTOYA MISAS;RECTOR ;NO REGISTRA ;DIEGO MAURICIO MONTOYA MISAS ;RECTOR ;NO REGISTRA ;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
435;60;SAN CRISTOBAL;CORPORACION CIER;IE ;305001024229;2600012;Sin registro;CORREG PALMITAS;Sin registro;Sin registro;Sin registro;MIRIAN JIMENEZ PEREZ;Sin registro;2600012;Sin registro;PENDIENTE POR VALIDAR;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
436;60;SAN CRISTOBAL;ESC POPULAR EUCARISTICA SANTA ANGELA;IE ;405001013912;"3227700 - 4260788
";Sin registro;KOLIMETRO 3 VIA SANPEDREO;Sin registro;Sin registro;Sin registro;PBRO. JAIRO ALONSO MOLINA ARANGO;Sin registro;"3227700 - 4260788
";Sin registro;PENDIENTE POR VALIDAR;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
437;70;ALTAVISTA;CENT EDUC EL MANZANILLO;IE ;205001009916;3410940;Sin registro;VDA EL MANZANILLO;MARTHA LUCIA ARANGO PALACIO;RECTOR ;3410940;MARTHA LUCIA ARANGO PALACIO;RECTOR ;3410940;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438;70;ALTAVISTA;CENT EDUC MARIA PAULINA TABORDA;IE ;205001009916;4911556;Sin registro;VDA TRAVESIAS EL CORAZON;MARTHA LUCIA ARANGO PALACIO;RECTOR ;4911556;MARTHA LUCIA ARANGO PALACIO;RECTOR ;4911556;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
439;70;ALTAVISTA;CENT EDUC CARLOS MESA SANCHEZ;IE ;205001009916;3433980;Sin registro;CORREG  ALTA  VISTA;MARTHA LUCIA ARANGO PALACIO;RECTOR ;3433980;MARTHA LUCIA ARANGO PALACIO;RECTOR ;3433980;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
440;70;ALTAVISTA;INST EDUC DEBORA ARANGO PEREZ;IE ;105001025763;3411386 - 3433654;rectoria@iedeboraarango.edu.co;CALLE  18 #103- 160;CARLOS ENRIQUE ROJAS SANCHEZ;RECTOR ;3411386 - 3433654;CARLOS ENRIQUE ROJAS SANCHEZ;RECTOR ;3411386 - 3433654;rectoria@iedeboraarango.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
441;70;ALTAVISTA;SEC ESC MANO DE DIOS;IE ;105001025763;2350062;rectoria@iedeboraarango.edu.co;CR 90 #15- 60;CARLOS ENRIQUE ROJAS SANCHEZ;RECTOR ;3411386 - 3433654;CARLOS ENRIQUE ROJAS SANCHEZ;RECTOR ;3411386 - 3433654;rectoria@iedeboraarango.edu.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
442;70;ALTAVISTA;INST EDUC MARINA ORTH;IE ;205001006526;3412359-3415510;ie.marinaorth@medellin.gov.co;VDA AGUAS FRIAS;ORLANDO MOSQUERA GALVIS;RECTOR ;3412359-3415510;ORLANDO MOSQUERA GALVIS;RECTOR ;3412359-3415510;ie.marinaorth@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
443;70;ALTAVISTA;SEC ESC AGUAS FRÍAS;IE ;105001026034-205001006526;3412359;ie.marinaorth@medellin.gov.co;VDA SANTA CLARA - AGUAS FRÍAS (GUANTEROS);ORLANDO MOSQUERA GALVIS;RECTOR ;3412359;ORLANDO MOSQUERA GALVIS;RECTOR ;3412359;ie.marinaorth@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
444;70;ALTAVISTA;INST EDUC ALTAVISTA;IE ;105001026603;3470521;Sin registro;CR 112 N° 13 111;CARLOS HORACIO BETANCUR ALVAREZ;RECTOR ;3470521;CARLOS HORACIO BETANCUR ALVAREZ;RECTOR ;3470521;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
445;80;SAN ANTONIO DE PRADO;INST EDUC FE Y ALEGRIA EL LIMONAR;IE ;105001018759;3370653-2869498;ie.feyalegrialimonar@medellin.gov.co;CL 55 Sur  60 A 13;LIA DEL CARMEN CORDOBA GARRIDO;RECTOR ;3370653-2869498;LIA DEL CARMEN CORDOBA GARRIDO;RECTOR ;3370653-2869498;ie.feyalegrialimonar@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
446;80;SAN ANTONIO DE PRADO;SEC ESC VENTANITAS;IE ;405001021265-105001018759;2867759;ie.feyalegrialimonar@medellin.gov.co;CR 63  52 Sur 46;LIA DEL CARMEN CORDOBA GARRIDO;RECTOR ;2867759;LIA DEL CARMEN CORDOBA GARRIDO;RECTOR ;2867759;ie.feyalegrialimonar@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
447;80;SAN ANTONIO DE PRADO;INST EDUC ANGELA RESTREPO MORENO;IE ;105001025798;3740170;Sin registro;CR 55 48 C SUR 90;MARTHA HELENA BETANCUR OSSA;RECTOR ;3740170;MARTHA ELENA BETANCUR OSSA;RECTOR ;3740170;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
448;80;SAN ANTONIO DE PRADO;SEC ESC LUIS GUILLERMO ECHEVERRY ABAD;IE ;205001002580 -105001025798;3732489;Sin registro;CR 54 F  57 Sur 21;MARTHA HELENA BETANCUR OSSA;RECTOR ;3732489;MARTHA ELENA BETANCUR OSSA;RECTOR ;3732489;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
449;80;SAN ANTONIO DE PRADO;INST EDUC MONSEÑOR VICTOR WIEDEMANN;IE ;205001001672;2860010/2866365;secretariosmonse@hotmail.com;Diagonal 60 E Nro 41 A Sur 30;ALBA NERY ECHEVERRI BUILES;RECTOR ;2860010/2866365;ALBA NERY ECHEVERRI BUILES;RECTOR ;2860010/2866365;secretariosmonse@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
450;80;SAN ANTONIO DE PRADO;SEC ESC LA VERDE;IE ;205001001729 -205001001672;2860291;secretariosmonse@hotmail.com;CLL 8ESTE NO 15-5;ALBA NERY ECHEVERRI BUILES;RECTOR ;2860291;ALBA NERY ECHEVERRI BUILES;RECTOR ;2860291;secretariosmonse@hotmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
451;80;SAN ANTONIO DE PRADO;CENT EDUC EL SALADO;IE ;205001002768;3373048;cesalado7@gmail.com;CORREG SN ANTONIO DE PRADO;HENRY DE JESUS DIAZ PINEDA;RECTOR ;3373048;HENRY DE JESUS DIAZ PINEDA;RECTOR ;3373048;cesalado7@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
452;80;SAN ANTONIO DE PRADO;CENT EDUC YARUMALITO;IE ;205001007611-205001002768;3373048;cesalado7@gmail.com;C S ANTONIO DE PRADO VDA YARUMALITO;HENRY DE JESUS DIAZ PINEDA;RECTOR ;3373048;HENRY DE JESUS DIAZ PINEDA;RECTOR ;3373048;cesalado7@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
453;80;SAN ANTONIO DE PRADO;CENT EDUC EL ASTILLERO;IE ;205001006216 -205001002768;3373048;cesalado7@gmail.com;CORREG SN ANTONIO DE PRADO;HENRY DE JESUS DIAZ PINEDA;RECTOR ;3373048;HENRY DE JESUS DIAZ PINEDA;RECTOR ;3373048;cesalado7@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
454;80;SAN ANTONIO DE PRADO;CENT EDUC POTRERITO;IE ;205001025911-205001002768;2863725;cesalado7@gmail.com;VEREDA POTRERITO - CORREG. SAN ANTONIO DE PRADO;HENRY DE JESUS DIAZ PINEDA;RECTOR ;2863725;HENRY DE JESUS DIAZ PINEDA;RECTOR ;2863725;cesalado7@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
455;80;SAN ANTONIO DE PRADO;CENT EDUC QUEBRADA LARGA;IE ;205001001451-205001002768;3028518;cesalado7@gmail.com;C SANTONIO DE PRADO VDA LA CABAÑA;HENRY DE JESUS DIAZ PINEDA;RECTOR ;3028518;HENRY DE JESUS DIAZ PINEDA;RECTOR ;3028518;cesalado7@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
456;80;SAN ANTONIO DE PRADO;CENT EDUC MONTAÑITA;IE ;205001009681-205001002768;2860168;cesalado7@gmail.com;C S ANTONIO DE PRADO VDA LA MONTAÑA;HENRY DE JESUS DIAZ PINEDA;RECTOR ;2860168;HENRY DE JESUS DIAZ PINEDA;RECTOR ;2860168;cesalado7@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
457;80;SAN ANTONIO DE PRADO;INST EDUC MANUEL J. BETANCUR;IE ;205001009797;2861722-2861980;ie.manueljbetancur@medellin.gov.co;CR 81 # 43 SUR 38;HUMBERTO RESTREPO ZAPATA;RECTOR ;2861722-2861980;HUMBERTO RESTREPO ZAPATA;RECTOR ;2861722-2861980;ie.manueljbetancur@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
458;80;SAN ANTONIO DE PRADO;SEC ESC GUSTAVO RODAS ISAZA;IE ;205001009754-205001009797;2862342;ie.manueljbetancur@medellin.gov.co;CL 48 Sur  66 B 22;HUMBERTO RESTREPO ZAPATA;RECTOR ;2862342;HUMBERTO RESTREPO ZAPATA;RECTOR ;2862342;ie.manueljbetancur@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
459;80;SAN ANTONIO DE PRADO;INST EDUC SAN ANTONIO DE PRADO;IE ;205001012534;2864285/2869361;Sin registro;CR 79  42 Sur 39 ;JHON FREDY BUSTAMANTE QUERUBIN;RECTOR ;2864285/2869361;JHON FREDY BUSTAMANTE QUERUBIN;RECTOR ;2864285/2869361;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
460;80;SAN ANTONIO DE PRADO;SEC ESC MANUEL MARIA MALLARINO;IE ;205001014421-205001012534;2860138;Sin registro;CL 40 sur  75 B 101;JHON FREDY BUSTAMANTE QUERUBIN;RECTOR ;2860138;JHON FREDY BUSTAMANTE QUERUBIN;RECTOR ;2860138;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
461;80;SAN ANTONIO DE PRADO;SEC ESC CARLOS BETANCUR BETANCUR;IE ;205001003411-205001012534;2860139;Sin registro;CR 77 Nro 41 sur -2;JHON FREDY BUSTAMANTE QUERUBIN;RECTOR ;2860139;JHON FREDY BUSTAMANTE QUERUBIN;RECTOR ;2860139;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
462;80;SAN ANTONIO DE PRADO;INST EDUC EL LIMONAR;IE ;205001018745;2862293;Sin registro;CL 57 Sur  65-63;JOHN FREDY NUÑEZ OCHOA;RECTOR ;2862293;JOHN FREDY NUÑEZ OCHOA;RECTOR ;2862293;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
463;80;SAN ANTONIO DE PRADO;INST EDUC SAN JOSE OBRERO;IE ;205001019318;2860164/2865866;Sin registro;CR 85 48 A SUR 51;JORGE ALIRIO RODRIGUEZ SERNA;RECTOR ;2860164/2865866;JORGE ALIRIO RODRIGUEZ SERNA;RECTOR ;2860164/2865866;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
464;80;SAN ANTONIO DE PRADO;SEC ESC SAN JOSE;IE ;205001001397-205001019318;2794321;Sin registro;CL 64 Sur 67-18;JORGE ALIRIO RODRIGUEZ SERNA;RECTOR ;2794321;JORGE ALIRIO RODRIGUEZ SERNA;RECTOR ;2794321;Sin registro;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
465;80;SAN ANTONIO DE PRADO;INST EDUC COMPARTIR;IE ;205001026624;2865591;ie.compartir@medellin.gov.co;CR 62 Nro 42 D Sur 26 ;WEIMAR ALBERTO VÁSQUEZ SANCHEZ;RECTOR ;2865591;WEIMAR ALBERTO VÁSQUEZ SANCHEZ;RECTOR ;2865591;ie.compartir@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
466;80;SAN ANTONIO DE PRADO;INST EDUC CORVIDE;IE ;205001026632;2867573;ie.corvide@medellin.gov.co;CR 60D # 48 SUR 25;LUZ HILDUARA VELÁSQUEZ ECHAVARRÍA;RECTOR ;2867573;LUZ HILDUARA VELÁSQUEZ ECHAVARRÍA;RECTOR ;2867573;ie.corvide@medellin.gov.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
467;80;SAN ANTONIO DE PRADO;INST EDUC PRADITO;IE ;205001026641;2862832 ;iepradito@gmail.com;CL 38A SUR 66A 137;HECTOR EMILIO OSORIO GARCIA;RECTOR ;2862832 ;HECTOR EMILIO OSORIO GARCIA;RECTOR ;2862832 ;iepradito@gmail.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
468;80;SAN ANTONIO DE PRADO;COLEGIO EMPRESARIAL;IE ;305001025592;4444262 EXT 202 - 3767266;coomulsap@coomulsap.com;CL 42 SUR 69 A 58;MARTA INÉS BUSTAMANTE QUINTERO;RECTOR ;4444262 EXT 202 - 3767266;MARTA INÉS BUSTAMANTE QUINTERO;RECTOR ;4444262 EXT 202 - 3767266;coomulsap@coomulsap.com;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
469;80;SAN ANTONIO DE PRADO;COL COOP SAN ANTONIO DE PRADO;IE ;405001016946;4444262 Ext. 303 -3769473;ccprado@epm.net.co;CL 38 SUR 70 181;"CESAR AUGUSTO GOMEZ MONTOYA
";RECTOR ;4444262 Ext. 303 -3769473;CESAR AUGUSTO GOMEZ MONTOYA;RECTOR ;4444262 Ext. 303 -3769473;ccprado@epm.net.co;ACTIVO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
470;90;SANTA ELENA ;CENTRO EDUCATIVO CONSTRUCTORES DE SUEÑOS;IE ;305001026262;2547844;Sin registro;CR 62 D 50 A SUR 09;Sin registro;RECTOR ;Sin registro;PAULA ANDREA GIRALDO ARANGO;RECTOR ;2547844;Sin registro;PENDIENTE VALIDACION;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
471;90;SANTA ELENA ;CENT EDUC MEDIA LUNA;IE ;205001001389;2695500;Sin registro;CORREG SANTA ELENA-VDA MEDIA LUNA;BEATRIZ ELENA ALVAREZ SERNA;RECTOR ;2695500;BEATRIZ ELENA ALVAREZ SERNA;RECTOR ;2695500;Sin registro;INHABILITADO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
472;90;SANTA ELENA ;SANTA ELENA ;IE ;205001001389;5380236;Sin registro;CORREG SANTA ELENA-VDA EL PLAN;BEATRIZ ELENA ALVAREZ SERNA;RECTOR ;5380236;BEATRIZ ELENA ALVAREZ SERNA;RECTOR ;5380236;Sin registro;INHABILITADO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
473;90;SANTA ELENA ;CENT EDUC EL PLACER;IE ;205001001389;5380143;Sin registro;CORREG SANTA ELENAVDA EL PLACER;BEATRIZ ELENA ALVAREZ SERNA;RECTOR ;5380143;BEATRIZ ELENA ALVAREZ SERNA;RECTOR ;5380143;Sin registro;INHABILITADO;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
474;90;SANTA ELENA ;CENT EDUC JUAN ANDRES PATINO;IE ;205001006119;5669138;Sin registro;CORREG SANTA ELENA-VDA BARRO BLANCO;DIANA PATRICIA GARCIA CASTRILLON;RECTOR ;5669138;DIANA PATRICIA GARCIA CASTRILLON;RECTOR ;5669138;Sin registro;ACTIVA;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
475;90;SANTA ELENA ;CENT EDUC PIEDRA GORDA;IE ;205001008561-205001006119;5669186;Sin registro;C SANTA ELENA-VDA PIEDRA GORDA;DIANA PATRICIA GARCIA CASTRILLON;RECTOR ;5669186;DIANA PATRICIA GARCIA CASTRILLON;RECTOR;5669186;Sin registro;ACTIVA;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
476;90;SANTA ELENA ;CENT EDUC EL CERRO;IE ;205001020006 - 205001006119;5381830;Sin registro;CORREG SANTA ELENA-VDA EL CERRO;DIANA PATRICIA GARCIA CASTRILLON;RECTOR ;5381830;DIANA PATRICIA GARCIA CASTRILLON;RECTOR;5381830;Sin registro;ACTIVA;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
477;90;SANTA ELENA ;CENT EDUC PERMANENTE MAZO;IE ;205001006224;5669390;Sin registro;CORREGIMIENTO SANTA ELENA -VEREDA MAZO- ZONA DE AFLUENCIA AL PARQUE ARVÍregimiento Santa Elena -Vereda Mazo- Zona de afluencia al Parque Arví;"JOAQUIN GERMAN OSPINA TANGARIFE
";RECTOR;5669390;JOAQUIN GERMAN OSPINA TANGARIFE;RECTOR;5669390;Sin registro;ACTIVA;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478;90;SANTA ELENA ;CENT EDUC PIEDRAS BLANCAS;IE ;205001008391-205001006224;5513286;Sin registro;C SANTA ELENA-VDA PIEDRAS BLANCAS;"JOAQUIN GERMAN OSPINA TANGARIFE
";RECTOR;5513286;JOAQUIN GERMAN OSPINA TANGARIFE;RECTOR;5513286;Sin registro;ACTIVA;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
479;90;SANTA ELENA ;INST EDUC SANTA ELENA;IE ;205001011031;5381304;Sin registro;KILOMETRO 15 VIA SANTA ELENA ;SILVIA ELENA RENDON GARZON;RECTOR;5381304;SILVIA ELENA RENDON GARZON;RECTOR;5381304;Sin registro;ACTIVA;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
480;90;SANTA ELENA ;SEC ESC RURAL SANTA ELENA;IE ;205001001486 -205001011031;5380027;Sin registro;CORREG SANTA ELENA-PARTE CENTRAL;SILVIA ELENA RENDON GARZON;RECTOR;5380027;SILVIA ELENA RENDON GARZON;RECTOR;5380027;Sin registro;ACTIVA;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
481;10;VILLANUEVA ;ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-;IE;899999054;18000423724;ventanillaunica@esap.edu.co;Cl. 56 #45-34;PEDRO EUGENIO MEDELLIN TORRES ;RECTOR;18000423724;PEDRO EUGENIO MEDELLIN TORRES ;RECTOR;18000423724;ventanillaunica@esap.edu.co;ACTIVA;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
482;14;POBLADO;POLITECNICO COLOMBIANO JAIME ISAZA CADAVID;IE;890980136;444 76 54-319 79 00;Sin Regsitro;CARRERA 48 No. 7 – 151;LIBARDO ALVAREZ LOPERA ;RECTOR;444 76 54-319 79 00;LIBARDO ALVAREZ LOPERA ;RECTOR;444 76 54-319 79 00;Sin registro;ACTIVA;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
483;10;LA CANDELARIA ;SERVICIO NACIONAL DE APRENDIZAJE-SENA-;IE;899999034;5760000;servicioalciudadano@sena.edu.co;CALLE 51 No. 57 - 70;CARLOS MARIO ESTRADA MOLINA ;RECTOR;5760000;CARLOS MARIO ESTRADA MOLINA ;RECTOR;5760000;servicioalciudadano@sena.edu.co;ACTIVA;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
484;7;ROBLEDO;TECNOLOGICO DE ANTIOQUIA;IE;890905419;444 37 00;atencionalcliente@tdea.edu.co;CALLE 78B NO. 72A - 220;LEONARDO GARCIA BOTERO;RECTOR;444 37 00;LEONARDO GARCIA BOTERO;RECTOR;444 37 00;atencionalcliente@tdea.edu.co;ACTIVA;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
485;4;ARANJUEZ;UNIVERSIDAD DE ANTIOQUIA;IE;890980040;219 8332;Sin Regsitro;CALLE 67 No. 53 - 108;JOHN JAIRO ARBOLEDA CESPEDES ;RECTOR;219 8332;JOHN JAIRO ARBOLEDA CESPEDES ;RECTOR;219 8332;Sin registro;ACTIVA ;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
486;10;LA CANDELARIA ;UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD;IE;860512780;01 8000 115223;Sin Regsitro;CRA. 45 # 55 - 19;JAIME ALBERTO LEAL AFANADOR ;RECTOR;01 8000 115223;JAIME ALBERTO LEAL AFANADOR ;RECTOR;01 8000 115223;Sin registro;ACTIVA ;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
